id,days,mature,views,partner,new_id,username
150417538,577,True,775,False,4867,gwencatgirldotexe
125723704,861,True,2585,False,3692,playonasm
155971814,523,False,1566,False,3816,melt0n
35832890,2234,False,9713,False,416,piloucrapou
46787750,1896,True,44529,False,4502,hecthelion
45572798,1868,True,41660,False,3536,devil_95
38403495,2092,False,9116,False,6286,ekliptor129
42291985,2011,True,27452,False,1918,inteur
137584596,721,False,193768,True,3259,jeremyblive
66913313,1544,False,46796,False,2527,thevox
35957906,2229,False,2841,False,4494,sistraer
176243295,371,False,5298,False,1731,coffee
73374753,1454,False,5594,False,2878,funnycouch
91574826,1236,False,9458,False,1827,geekosphere
131270485,800,True,180586,False,726,nezumi_su
63670984,1590,False,165169,False,1075,qlexplore
37799198,2154,False,117104,False,3152,nuitblanchetv
60811547,1639,False,865,False,4162,teamzankioh
30886244,2323,False,28865,False,936,936
28235867,2418,False,1261,False,2481,eszik
8901629,3269,False,53137,False,2025,atshushi
213393013,184,False,3811,False,3124,staynw54
135847847,741,True,31763,False,6310,sheitanina
80824628,1342,True,674,False,917,imiokun
28381608,2420,False,36583,False,1780,barrylesjambes
56306506,1709,False,11826,False,4370,deniskoslov
90280606,1249,False,2001,False,1874,metalco
140740042,674,False,9107,False,566,keyvall
71914876,1478,True,97104,True,2184,cynthiab
114166060,987,False,1172,False,914,tchaki
40602390,2027,False,1042,False,1114,doc_landerf
26415863,2511,False,16966,False,1906,arakros5
140297678,686,True,20588,False,568,lespoutineux
85287631,1308,True,18642,False,3544,angilina13
44878213,1943,True,16542,False,114,schaog
179195089,351,False,2664,False,1310,aurel4k
43329778,1938,False,7696,False,4154,matgamesx2
131273104,800,False,21283,False,1771,rachaelle
31712753,2296,False,16732,False,3861,yolakrapule
37853987,2064,False,2000,False,2772,killarii
49598479,1838,False,22606,False,1618,zirtok
44246718,1957,False,4181,False,3943,interlopejunior
59008392,1665,False,10914,False,3827,alibi_mufc
22633339,2687,False,2285,False,2807,almavermillion
34805435,2244,False,42509,False,2310,pixelspray
43907647,1964,True,4340,False,308,capsloque
39839712,2081,False,356144,False,4048,tontonscorp
152705416,547,False,5514,False,2611,polakinho
126332227,855,True,1215488,True,4555,lexaaoff
36318615,2213,False,12503,False,4582,theguill84
47643182,1882,False,8186,False,5900,ickybells
99672929,1149,False,583,False,2058,ota__tv
99126589,1148,False,1233,False,1561,obelgray
43847504,1837,True,122,False,1545,ildrakk
28118745,2422,True,1184,False,1492,mordethrhedan
59732481,1659,True,16194,False,5044,shinohxc
20271187,2800,False,24821,False,1648,rowmanow
68006279,1490,False,3428,False,4991,bastienpean
