id,days,mature,views,partner,new_id,username
44891403,1943,False,929459,True,1706,copaamerica_pt2
61180621,1633,False,11194,False,1273,simbaxp2
145109685,632,False,2850,False,313,canalkeldek
122121521,906,True,3422,False,1570,tidalto
189445819,267,False,71,False,800,chechelexg
181817228,332,True,11310,False,1869,carecaaovivo
110511642,1021,True,6929,False,722,ikayoms
59876145,1655,False,4156,False,367,367
39174484,2102,True,117902,False,150,carletofrommars
62133251,1622,True,5950,False,474,filamsj
35923742,2230,False,3759,False,856,gtlnferno
45717905,1912,False,3168,False,1144,zemesswk
144541383,638,True,5205,False,810,roja0k
153976112,540,True,36383,False,1569,haup
36718509,2164,False,5182,False,939,lumeniano
51764317,1789,True,1636,False,1466,1466
39795492,2082,False,7070233,True,1311,davyjones
74354006,1440,True,22520,False,1589,okelvinsousa
145666995,618,False,1649,False,434,kvadas
146712223,616,False,8307,False,788,macacorobo
156144245,523,False,16534,False,278,jotaza
113014442,908,False,1299,False,791,sdscroll
103748544,1103,False,2467726,True,777,ramire7z
27962080,2442,False,676704,True,1367,livedojoni
9471215,3224,False,4725,False,580,sayan3
120711952,920,True,14062,False,1322,ufosgames
94859795,1200,False,14716,False,237,cassiothird
43650130,1963,False,3010,False,1461,biribaldotv
144442731,640,True,50079,False,638,toquinhaman
163079780,463,True,76754,False,764,sdesebola
44304795,1957,True,761878,True,1148,rohgadioli
31633655,2300,False,21103,False,113,camisanocontrole
100084972,1148,False,46751,False,1535,forcexds
31071597,2318,False,3179,False,1602,harnock
58835247,1673,False,25976,False,134,epicdarkk
145482658,629,True,14962,False,426,tuskha
66021588,1555,False,25775,False,584,tudoculpadofabio
55969277,1714,False,167389,True,1057,chratosgameplay
124789454,874,True,17695,False,324,bersekerplays
42288341,2005,False,1550,False,572,ichiiii
42642296,2001,False,564235,True,1348,muuhpro
81507358,1349,True,81894,False,489,489
142947067,654,True,35812,False,214,silviolosantos
37357735,2168,True,8246,False,463,eledrien_fangorn
51873588,1759,False,445,False,871,luizfrodo
141929085,668,True,238891,True,1236,imli
157739465,507,True,52120,False,1166,dekomaia
172101488,408,True,7948,False,1852,escudero_sp
75376601,1425,True,3705,False,963,yur4oon
31187787,2316,False,6063283,True,382,hotform
170184214,422,False,6399,False,1682,lukestrm
39797588,2075,True,3083,False,387,mardittu
64825943,1574,False,36686,False,1225,edu207
89726585,1262,False,3008,False,1730,fns1
28579002,2418,False,7309842,True,557,cellbit
37990315,2145,True,3885,False,307,fezudu
44327251,1956,True,13366,False,149,curtojogos
157150538,504,True,1615,False,1582,schmutzpaulo
35109670,2242,False,2586,False,1312,tgbthiago
211223764,129,False,358,False,571,btttwitchtv
136350301,737,False,9135,False,1230,1230
47467269,1868,False,3224,False,1296,dougdodonas
28046945,2412,False,19889,False,761,pagex
119748340,931,False,4843,False,835,guzzfps
74568835,1423,False,386,False,527,dunkhoop
39008069,2108,False,7258,False,885,lockheart_93
69204485,1516,False,32641,False,1193,godzamy
13306939,3035,True,325207,True,1121,jaggerzor
79809308,1367,True,409417,True,1304,showlianatv
131902004,792,False,4710,False,1211,gamer_mombr
118717375,941,True,17822,False,1385,pontstv
67271750,1539,True,28802,False,1154,pequenajacky
26461261,2507,False,112448,True,502,phoenixbr
59258472,1505,False,344,False,770,davenadave
124667314,875,True,3589774,True,669,esquadraomav
138437340,711,False,9339,False,327,327
36023565,2225,False,75878,False,1552,1552
170649368,417,False,3016,False,854,killaboysz
52569422,1775,False,325297,True,624,624
122747274,899,True,124347,True,1104,shuwie
127983549,823,False,766,False,1727,spaacer
77853016,1388,True,107085,True,153,vikingofsouth
137453501,723,False,2087,False,1886,wall5k
40490651,2052,False,2814,False,931,yakuzaliquid
81754667,1346,True,13424,False,1208,sambss
71719786,1475,False,3094,False,1342,brlimax
62981706,1601,False,19634,False,675,marselottv
52614128,1774,False,11392773,True,467,thedarkness
112302950,1003,True,14619,False,1340,sallitz
158802171,497,True,8455,False,114,jogador_trintao
36791444,2189,False,703,False,536,beckzss
93199914,1220,True,15442,False,1692,notvsbc
62806816,1596,True,46121,False,1308,tryhardaronm
69203381,1509,True,1408,False,671,xescorleonex
46620052,1904,False,1855,False,1618,legiralle
54446483,1741,False,11859,False,1145,guigui44
49790045,1826,False,905,False,96,valeapenajogardenovo
77304462,1392,False,5638,False,295,glauciamss
52304703,1563,False,275,False,405,battousaijgr
53374065,1761,False,239456,True,1477,thorasgardiano
147610788,607,False,2104,False,1503,pauloenryk1313
64327411,1581,False,1614575,True,1787,reeh
113930726,990,False,61940,False,215,peashrek
52673255,1772,True,3338,False,1285,onzeustv
44473765,1950,True,480,False,1626,the_gabriotti
41039652,2038,False,10690,False,1279,mesquiitajr
132454750,780,False,276,False,1117,gameplaydoboy
